Timestamp,Your name?,What is the name of your event?,Where will your mapping party be held?,Please insert a link to your venue on openstreetmap.org,Please insert a link where people can sign up,What date is your event taking place? (as YYYY-MM-DD),What time does your event start?,What time does your event end?,Country?,Is this is part of OSM GeoWeek 2020? (Nov 15-21),lat,long
uniqueID-57,,18. pravidelný olomoucký mapathon,"Přírodovědecká fakulta Univerzity Palackého v Olomouci, 17. listopadu 12, 77146 Olomouc, Czech Republic, Olomouc, Czech Republic",https://osm.org/go/0LRgaIkre?layers=N,https://www.facebook.com/events/796659510832071/,2020-02-19,18:00,20:00,[cz],,49.59248,17.26311
uniqueID-58,,Missing Maps iMMAP - U. del Rosario,"Universidad del Rosario, Bogota, Colombia",https://www.openstreetmap.org/#map=19/4.65449/-74.07246,https://www.eventbrite.com/e/missing-maps-immap-u-del-rosario-tickets-94677686509,2020-02-19,15:00,18:00,[co],,4.65449,-74.07246
uniqueID-59,,Mapathon Missing Maps CartONG,"Le Tuba, Lyon, France",https://www.openstreetmap.org/node/3837100089,https://www.eventbrite.ca/e/billets-mapathon-missing-maps-a-lyon-letuba-84912057249,2020-02-18,18:30,21:30,[fr],,45.7637971,4.8538376
uniqueID-60,,Missing Maps mapathon Žilina #8,"Scheidt & Bachmann Slovensko, Žilina, Slovakia",https://www.openstreetmap.org/?mlat=49.19551&mlon=18.74053#map=19/49.19551/18.74053,https://www.eventbrite.com/e/missing-maps-mapathon-zilina-8-tickets-92213873177?aff=missingmapsorg,2020-02-12,17:00,20:00,[sk],,49.19551,18.74053
uniqueID-61,,Missing Maps Berlin,"Factory Görlitzer Park, Berlin, Germany",https://www.openstreetmap.org/node/7188845984#map=19/52.49403/13.44628,https://www.eventbrite.com/e/missing-maps-mapathon-german-red-cross-berlin-tickets-91777191049,2020-02-12,18:00,21:00,[de],,52.49403,13.44628
uniqueID-62,,Missing Maps Mapathon,"Faculty of Logistics and Crisis Management, Uherské Hradiště, Czech Republic",https://www.openstreetmap.org/?mlat=49.07025&mlon=17.47286#map=18/49.07025/17.47287,https://www.facebook.com/events/489009878662896/,2020-02-10,15:00,19:00,[cz],,49.07025,17.47287
uniqueID-63,,Missing Maps - UW's Geospatial Club,"Anderson Hall - Room 207, Seattle, United States",https://www.openstreetmap.org/?mlat=47.651794105768204&mlon=-122.30761796236038#map=19/47.65179/-122.30762,https://catalyst.uw.edu/webq/survey/astrid87/384704,2020-02-07,11:00,1:00,[us],,47.65179,-122.30762
uniqueID-64,,Doctors Without Borders NYC Mapathon,"Doctors Without Borders Headquarters, New York, NY, United States",https://www.openstreetmap.org/way/278033631,https://www.eventbrite.com/e/doctors-without-borders-nyc-mapathon-registration-82618013703,2020-02-06,18:00,21:00,[us],,40.70867,-74.01467
uniqueID-65,,Humanitarian Map-a-thon: DH for Disaster Relief,"Pace Univerity, Babble Lab, Rm. 202, New York City, United States",https://www.openstreetmap.org/#map=18/40.7117566/-74.0062178,https://nycdh.org/dhweek/event/humanitarian-map-a-thon-dh-for-disaster-relief/,2020-02-06,15:00,17:00,[us],,40.71176,-74.00622
uniqueID-66,,Mapathon Missing maps,"La Turbine.coop, Grenoble, France",https://www.openstreetmap.org/search?query=la%20turbine.coop#map=19/45.18764/5.70506,https://www.eventbrite.ca/e/billets-mapathon-missing-maps-a-grenoble-la-turbinecoop-85472445385,2020-02-05,18:30,21:30,[fr],,45.18764,5.70506
uniqueID-67,,Missing Maps London,"Microsoft Reactor, London, United Kingdom",https://www.openstreetmap.org/node/7121959285,https://www.eventbrite.co.uk/e/missing-maps-february-mapathon-tickets-89217741667,2020-02-04,18:00,21:00,[gb],,51.5218085,-0.0844662
uniqueID-68,,Missing Maps Zürich January Mapathon,"Schweizerisches Rotes Kreuz, Zürich, Switzerland",https://www.openstreetmap.org/way/39425222,https://www.meetup.com/de-DE/Missing-Maps-Zurich/,2020-01-29,19:00,21:00,[ch],,47.38642,8.53589
uniqueID-69,,Lednový Missing Maps mapathon v Praze,"Lednový Missing Maps mapathon v Praze - v kanceláři Lékařů bez hranic, Prague, Czech Republic",https://www.openstreetmap.org/node/6476306091,https://www.eventbrite.co.uk/e/lednovy-missing-maps-mapathon-v-praze-v-kancelari-lekaru-bez-hranic-tickets-90579239945?ref=enivtefor001&invite=MTg4NjgzNTUvamlyaS5odWJhY2VrQGdtYWlsLmNvbS8w%0A,2020-01-28,18:00,21:00,[cz],,50.1060283,14.472524
